org:resource,Activity,time:timestamp,case:REG_DATE,CaseID,case:AMOUNT_REQ,org:resource:role
10912.0,W_Afhandelen leads,10.442929787247998,10.421864592454954,173712,10.308952660644293,Role 1
11019.0,W_Completeren aanvraag,10.707527418047702,10.421864592454954,173712,10.308952660644293,Role 1
11180.0,W_Completeren aanvraag,12.2602056541101,10.421864592454954,173712,10.308952660644293,Role 1
11180.0,W_Completeren aanvraag,12.316947429625694,10.421864592454954,173712,10.308952660644293,Role 1
10912.0,W_Afhandelen leads,10.454062595819401,10.398580057313119,173706,9.798127036878302,Role 1
10912.0,W_Completeren aanvraag,10.603858578185394,10.398580057313119,173706,9.798127036878302,Role 1
10912.0,W_Completeren aanvraag,10.609328821154959,10.398580057313119,173706,9.798127036878302,Role 1
NAN,W_Completeren aanvraag,10.852787438017229,10.398580057313119,173706,9.798127036878302,Role 1
10912.0,W_Completeren aanvraag,10.471723225145992,10.420434403307056,173709,9.305650551780507,Role 1
10912.0,W_Completeren aanvraag,10.593078416893297,10.420434403307056,173709,9.305650551780507,Role 1
10982.0,W_Completeren aanvraag,13.64004822283057,10.420434403307056,173709,9.305650551780507,Role 1
10982.0,W_Completeren aanvraag,14.81355969409327,10.420434403307056,173709,9.305650551780507,Role 1
NAN,W_Completeren aanvraag,10.501197045162932,10.489467029902544,173718,9.615805480084347,Role 1
NAN,W_Nabellen offertes,10.501609512686963,10.489467029902544,173718,9.615805480084347,Role 1
NAN,W_Nabellen offertes,10.504848337465365,10.489467029902544,173718,9.615805480084347,Role 1
NAN,W_Nabellen offertes,10.510423036277007,10.489467029902544,173718,9.615805480084347,Role 1
NAN,W_Nabellen offertes,10.51080447649088,10.489467029902544,173718,9.615805480084347,Role 1
11002.0,W_Nabellen offertes,13.402980048588905,10.489467029902544,173718,9.615805480084347,Role 1
11049.0,W_Nabellen offertes,13.610431604840459,10.489467029902544,173718,9.615805480084347,Role 1
10629.0,W_Valideren aanvraag,13.892330848454755,10.489467029902544,173718,9.615805480084347,Role 2
NAN,W_Nabellen incomplete dossiers,13.893968626144193,10.489467029902544,173718,9.615805480084347,Role 1
10629.0,W_Nabellen incomplete dossiers,13.896603790566298,10.489467029902544,173718,9.615805480084347,Role 2
11122.0,W_Nabellen incomplete dossiers,13.90753990717937,10.489467029902544,173718,9.615805480084347,Role 1
11122.0,W_Nabellen incomplete dossiers,13.907660294278761,10.489467029902544,173718,9.615805480084347,Role 1
11122.0,W_Nabellen incomplete dossiers,13.907672149800083,10.489467029902544,173718,9.615805480084347,Role 1
10913.0,W_Nabellen incomplete dossiers,14.048467401039254,10.489467029902544,173718,9.615805480084347,Role 1
10913.0,W_Nabellen incomplete dossiers,14.053148555428937,10.489467029902544,173718,9.615805480084347,Role 1
NAN,W_Nabellen incomplete dossiers,14.172378383300194,10.489467029902544,173718,9.615805480084347,Role 1
NAN,W_Nabellen incomplete dossiers,14.174716695727339,10.489467029902544,173718,9.615805480084347,Role 1
10889.0,W_Nabellen incomplete dossiers,14.238723896958986,10.489467029902544,173718,9.615805480084347,Role 1
11002.0,W_Nabellen incomplete dossiers,14.241085435738055,10.489467029902544,173718,9.615805480084347,Role 1
10972.0,W_Valideren aanvraag,14.276017359758628,10.489467029902544,173718,9.615805480084347,Role 2
NAN,W_Nabellen incomplete dossiers,14.276912927201415,10.489467029902544,173718,9.615805480084347,Role 1
NAN,W_Nabellen incomplete dossiers,14.277189003839018,10.489467029902544,173718,9.615805480084347,Role 1
11049.0,W_Nabellen incomplete dossiers,14.330432580022451,10.489467029902544,173718,9.615805480084347,Role 1
11121.0,W_Nabellen incomplete dossiers,14.528642212030473,10.489467029902544,173718,9.615805480084347,Role 1
NAN,W_Nabellen incomplete dossiers,14.598148289820028,10.489467029902544,173718,9.615805480084347,Role 1
10972.0,W_Valideren aanvraag,14.63861393524544,10.489467029902544,173718,9.615805480084347,Role 2
10939.0,W_Completeren aanvraag,10.559088617022104,10.538210812958356,173721,9.104979856318357,Role 1
10939.0,W_Nabellen offertes,10.562250306234242,10.538210812958356,173721,9.104979856318357,Role 1
10939.0,W_Nabellen offertes,10.577706723210554,10.538210812958356,173721,9.104979856318357,Role 1
NAN,W_Nabellen offertes,12.644762965536716,10.538210812958356,173721,9.104979856318357,Role 1
NAN,W_Nabellen offertes,13.04992815926335,10.538210812958356,173721,9.104979856318357,Role 1
10609.0,W_Valideren aanvraag,13.60681833142925,10.538210812958356,173721,9.104979856318357,Role 2
10912.0,W_Nabellen incomplete dossiers,13.607846577498451,10.538210812958356,173721,9.104979856318357,Role 1
10912.0,W_Nabellen incomplete dossiers,13.61391810448036,10.538210812958356,173721,9.104979856318357,Role 1
